"GHO (CODE)","GHO (DISPLAY)","GHO (URL)","DATASOURCE (CODE)","DATASOURCE (DISPLAY)","DATASOURCE (URL)","PUBLISHSTATE (CODE)","PUBLISHSTATE (DISPLAY)","PUBLISHSTATE (URL)","YEAR (CODE)","YEAR (DISPLAY)","YEAR (URL)","REGION (CODE)","REGION (DISPLAY)","REGION (URL)","COUNTRY (CODE)","COUNTRY (DISPLAY)","COUNTRY (URL)","RESIDENCEAREATYPE (CODE)","RESIDENCEAREATYPE (DISPLAY)","RESIDENCEAREATYPE (URL)","Display Value","Numeric","Low","High","StdErr","StdDev","Comments"
"FINPROTECTION_CATA_TOT_25_POP","Population with household expenditures on health greater than 25% of total household expenditure or income (SDG indicator 3.8.2) (%)","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4845","FPCMR2001","source","","PUBLISHED","Published","","2001","2001","","AFR","Africa","","CMR","Cameroon","","TOTL","Total","","0.42","0.42000","","","","",""
"FINPROTECTION_CATA_TOT_10_POP","Population with household expenditures on health greater than 10% of total household expenditure or income (SDG indicator 3.8.2) (%)","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4844","FPCMR2007","source","","PUBLISHED","Published","","2007","2007","","AFR","Africa","","CMR","Cameroon","","TOTL","Total","","9.97","9.97000","","","","",""
"FINPROTECTION_CATA_TOT_10_POP","Population with household expenditures on health greater than 10% of total household expenditure or income (SDG indicator 3.8.2) (%)","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4844","FPCMR2007","source","","PUBLISHED","Published","","2007","2007","","AFR","Africa","","CMR","Cameroon","","URB","Urban","","7.70","7.70000","","","","",""
"FINPROTECTION_CATA_TOT_25_POP","Population with household expenditures on health greater than 25% of total household expenditure or income (SDG indicator 3.8.2) (%)","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4845","FPCMR2007","source","","PUBLISHED","Published","","2007","2007","","AFR","Africa","","CMR","Cameroon","","RUR","Rural","","0.33","0.33000","","","","",""
"FINPROTECTION_CATA_TOT_10_POP","Population with household expenditures on health greater than 10% of total household expenditure or income (SDG indicator 3.8.2) (%)","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4844","FPCMR2014","source","","PUBLISHED","Published","","2014","2014","","AFR","Africa","","CMR","Cameroon","","RUR","Rural","","9.65","9.65000","","","","",""
"FINPROTECTION_CATA_TOT_25_POP","Population with household expenditures on health greater than 25% of total household expenditure or income (SDG indicator 3.8.2) (%)","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4845","FPCMR2014","source","","PUBLISHED","Published","","2014","2014","","AFR","Africa","","CMR","Cameroon","","TOTL","Total","","2.98","2.98000","","","","",""
"FINPROTECTION_CATA_TOT_10_POP","Population with household expenditures on health greater than 10% of total household expenditure or income (SDG indicator 3.8.2) (%)","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4844","FPCOD2004","source","","PUBLISHED","Published","","2004","2004","","AFR","Africa","","COD","Democratic Republic of the Congo","","TOTL","Total","","3.93","3.93000","","","","",""
"FINPROTECTION_CATA_TOT_10_POP","Population with household expenditures on health greater than 10% of total household expenditure or income (SDG indicator 3.8.2) (%)","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4844","FPCOD2004","source","","PUBLISHED","Published","","2004","2004","","AFR","Africa","","COD","Democratic Republic of the Congo","","URB","Urban","","4.08","4.08000","","","","",""
"FINPROTECTION_CATA_TOT_10_POP","Population with household expenditures on health greater than 10% of total household expenditure or income (SDG indicator 3.8.2) (%)","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4844","FPCOD2012","source","","PUBLISHED","Published","","2012","2012","","AFR","Africa","","COD","Democratic Republic of the Congo","","RUR","Rural","","5.41","5.41000","","","","",""
"FINPROTECTION_CATA_TOT_10_POP","Population with household expenditures on health greater than 10% of total household expenditure or income (SDG indicator 3.8.2) (%)","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4844","FPCOG2005","source","","PUBLISHED","Published","","2005","2005","","AFR","Africa","","COG","Congo","","TOTL","Total","","12.57","12.57000","","","","",""
"FINPROTECTION_CATA_TOT_25_POP","Population with household expenditures on health greater than 25% of total household expenditure or income (SDG indicator 3.8.2) (%)","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4845","FPCOG2005","source","","PUBLISHED","Published","","2005","2005","","AFR","Africa","","COG","Congo","","URB","Urban","","2.20","2.20000","","","","",""
"FINPROTECTION_CATA_TOT_25_POP","Population with household expenditures on health greater than 25% of total household expenditure or income (SDG indicator 3.8.2) (%)","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4845","FPCOG2011","source","","PUBLISHED","Published","","2011","2011","","AFR","Africa","","COG","Congo","","RUR","Rural","","0.89","0.89000","","","","",""
"FINPROTECTION_CATA_TOT_10_POP","Population with household expenditures on health greater than 10% of total household expenditure or income (SDG indicator 3.8.2) (%)","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4844","FPCOL2008","source","","PUBLISHED","Published","","2008","2008","","AMR","Americas","","COL","Colombia","","RUR","Rural","","18.64","18.64000","","","","",""
"FINPROTECTION_CATA_TOT_25_POP","Population with household expenditures on health greater than 25% of total household expenditure or income (SDG indicator 3.8.2) (%)","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4845","FPCOL2008","source","","PUBLISHED","Published","","2008","2008","","AMR","Americas","","COL","Colombia","","TOTL","Total","","3.11","3.11000","","","","",""
"FINPROTECTION_CATA_TOT_10_POP","Population with household expenditures on health greater than 10% of total household expenditure or income (SDG indicator 3.8.2) (%)","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4844","FPCOL2010","source","","PUBLISHED","Published","","2010","2010","","AMR","Americas","","COL","Colombia","","TOTL","Total","","16.92","16.92000","","","","",""
"FINPROTECTION_CATA_TOT_10_POP","Population with household expenditures on health greater than 10% of total household expenditure or income (SDG indicator 3.8.2) (%)","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4844","FPCOL2010","source","","PUBLISHED","Published","","2010","2010","","AMR","Americas","","COL","Colombia","","URB","Urban","","17.10","17.10000","","","","",""
"FINPROTECTION_CATA_TOT_10_POP","Population with household expenditures on health greater than 10% of total household expenditure or income (SDG indicator 3.8.2) (%)","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4844","FPCOL2016","source","","PUBLISHED","Published","","2016","2016","","AMR","Americas","","COL","Colombia","","RUR","Rural","","7.46","7.46000","","","","",""
"FINPROTECTION_CATA_TOT_10_POP","Population with household expenditures on health greater than 10% of total household expenditure or income (SDG indicator 3.8.2) (%)","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4844","FPCOM2014","source","","PUBLISHED","Published","","2014","2014","","AFR","Africa","","COM","Comoros","","TOTL","Total","","8.81","8.81000","","","","",""
"FINPROTECTION_CATA_TOT_10_POP","Population with household expenditures on health greater than 10% of total household expenditure or income (SDG indicator 3.8.2) (%)","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4844","FPCPV2001","source","","PUBLISHED","Published","","2001","2001","","AFR","Africa","","CPV","Cabo Verde","","TOTL","Total","","2.81","2.81000","","","","",""
"FINPROTECTION_CATA_TOT_25_POP","Population with household expenditures on health greater than 25% of total household expenditure or income (SDG indicator 3.8.2) (%)","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4845","FPCPV2001","source","","PUBLISHED","Published","","2001","2001","","AFR","Africa","","CPV","Cabo Verde","","URB","Urban","","0.34","0.34000","","","","",""
"FINPROTECTION_CATA_TOT_25_POP","Population with household expenditures on health greater than 25% of total household expenditure or income (SDG indicator 3.8.2) (%)","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4845","FPCPV2007","source","","PUBLISHED","Published","","2007","2007","","AFR","Africa","","CPV","Cabo Verde","","RUR","Rural","","0.05","0.05000","","","","",""
"FINPROTECTION_CATA_TOT_25_POP","Population with household expenditures on health greater than 25% of total household expenditure or income (SDG indicator 3.8.2) (%)","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4845","FPCRI1992","source","","PUBLISHED","Published","","1992","1992","","AMR","Americas","","CRI","Costa Rica","","TOTL","Total","","0.10","0.10000","","","","",""
"FINPROTECTION_CATA_TOT_25_POP","Population with household expenditures on health greater than 25% of total household expenditure or income (SDG indicator 3.8.2) (%)","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4845","FPCRI1992","source","","PUBLISHED","Published","","1992","1992","","AMR","Americas","","CRI","Costa Rica","","URB","Urban","","0.18","0.18000","","","","",""
"FINPROTECTION_CATA_TOT_10_POP","Population with household expenditures on health greater than 10% of total household expenditure or income (SDG indicator 3.8.2) (%)","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4844","FPCRI2004","source","","PUBLISHED","Published","","2004","2004","","AMR","Americas","","CRI","Costa Rica","","URB","Urban","","5.00","5.00000","","","","",""
"FINPROTECTION_CATA_TOT_25_POP","Population with household expenditures on health greater than 25% of total household expenditure or income (SDG indicator 3.8.2) (%)","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4845","FPCRI2004","source","","PUBLISHED","Published","","2004","2004","","AMR","Americas","","CRI","Costa Rica","","RUR","Rural","","0.34","0.34000","","","","",""
"FINPROTECTION_CATA_TOT_10_POP","Population with household expenditures on health greater than 10% of total household expenditure or income (SDG indicator 3.8.2) (%)","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4844","FPCRI2012","source","","PUBLISHED","Published","","2012","2012","","AMR","Americas","","CRI","Costa Rica","","RUR","Rural","","7.75","7.75000","","","","",""
"FINPROTECTION_CATA_TOT_25_POP","Population with household expenditures on health greater than 25% of total household expenditure or income (SDG indicator 3.8.2) (%)","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4845","FPCRI2012","source","","PUBLISHED","Published","","2012","2012","","AMR","Americas","","CRI","Costa Rica","","TOTL","Total","","1.70","1.70000","","","","",""
"FINPROTECTION_CATA_TOT_10_POP","Population with household expenditures on health greater than 10% of total household expenditure or income (SDG indicator 3.8.2) (%)","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4844","FPCYP2010","source","","PUBLISHED","Published","","2010","2010","","EUR","Europe","","CYP","Cyprus","","TOTL","Total","","16.07","16.07000","","","","",""
"FINPROTECTION_CATA_TOT_10_POP","Population with household expenditures on health greater than 10% of total household expenditure or income (SDG indicator 3.8.2) (%)","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4844","FPCYP2010","source","","PUBLISHED","Published","","2010","2010","","EUR","Europe","","CYP","Cyprus","","URB","Urban","","17.16","17.16000","","","","",""
"FINPROTECTION_CATA_TOT_25_POP","Population with household expenditures on health greater than 25% of total household expenditure or income (SDG indicator 3.8.2) (%)","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4845","FPCZE1999","source","","PUBLISHED","Published","","1999","1999","","EUR","Europe","","CZE","Czechia","","TOTL","Total","","0.00","0.00000","","","","",""
"FINPROTECTION_CATA_TOT_10_POP","Population with household expenditures on health greater than 10% of total household expenditure or income (SDG indicator 3.8.2) (%)","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4844","FPCZE2010","source","","PUBLISHED","Published","","2010","2010","","EUR","Europe","","CZE","Czechia","","TOTL","Total","","2.22","2.22000","","","","",""
"FINPROTECTION_CATA_TOT_25_POP","Population with household expenditures on health greater than 25% of total household expenditure or income (SDG indicator 3.8.2) (%)","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4845","FPDJI1996","source","","PUBLISHED","Published","","1996","1996","","EMR","Eastern Mediterranean","","DJI","Djibouti","","URB","Urban","","0.04","0.04000","","","","",""
"FINPROTECTION_CATA_TOT_25_POP","Population with household expenditures on health greater than 25% of total household expenditure or income (SDG indicator 3.8.2) (%)","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4845","FPDNK1997","source","","PUBLISHED","Published","","1997","1997","","EUR","Europe","","DNK","Denmark","","TOTL","Total","","0.37","0.37000","","","","",""
"FINPROTECTION_CATA_TOT_10_POP","Population with household expenditures on health greater than 10% of total household expenditure or income (SDG indicator 3.8.2) (%)","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4844","FPDNK2010","source","","PUBLISHED","Published","","2010","2010","","EUR","Europe","","DNK","Denmark","","TOTL","Total","","2.93","2.93000","","","","",""
"FINPROTECTION_CATA_TOT_10_POP","Population with household expenditures on health greater than 10% of total household expenditure or income (SDG indicator 3.8.2) (%)","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4844","FPDNK2010","source","","PUBLISHED","Published","","2010","2010","","EUR","Europe","","DNK","Denmark","","URB","Urban","","3.91","3.91000","","","","",""
"FINPROTECTION_CATA_TOT_10_POP","Population with household expenditures on health greater than 10% of total household expenditure or income (SDG indicator 3.8.2) (%)","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4844","FPDOM2007","source","","PUBLISHED","Published","","2007","2007","","AMR","Americas","","DOM","Dominican Republic","","RUR","Rural","","18.76","18.76000","","","","",""
"FINPROTECTION_CATA_TOT_10_POP","Population with household expenditures on health greater than 10% of total household expenditure or income (SDG indicator 3.8.2) (%)","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4844","FPECU1998","source","","PUBLISHED","Published","","1998","1998","","AMR","Americas","","ECU","Ecuador","","TOTL","Total","","9.14","9.14000","","","","",""
"FINPROTECTION_CATA_TOT_25_POP","Population with household expenditures on health greater than 25% of total household expenditure or income (SDG indicator 3.8.2) (%)","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4845","FPEGY1997","source","","PUBLISHED","Published","","1997","1997","","EMR","Eastern Mediterranean","","EGY","Egypt","","RUR","Rural","","1.12","1.12000","","","","",""
"FINPROTECTION_CATA_TOT_25_POP","Population with household expenditures on health greater than 25% of total household expenditure or income (SDG indicator 3.8.2) (%)","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4845","FPEGY2008","source","","PUBLISHED","Published","","2008","2008","","EMR","Eastern Mediterranean","","EGY","Egypt","","TOTL","Total","","0.89","0.89000","","","","",""
"FINPROTECTION_CATA_TOT_25_POP","Population with household expenditures on health greater than 25% of total household expenditure or income (SDG indicator 3.8.2) (%)","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4845","FPEGY2008","source","","PUBLISHED","Published","","2008","2008","","EMR","Eastern Mediterranean","","EGY","Egypt","","URB","Urban","","1.13","1.13000","","","","",""
"FINPROTECTION_CATA_TOT_10_POP","Population with household expenditures on health greater than 10% of total household expenditure or income (SDG indicator 3.8.2) (%)","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4844","FPEGY2012","source","","PUBLISHED","Published","","2012","2012","","EMR","Eastern Mediterranean","","EGY","Egypt","","URB","Urban","","23.91","23.91000","","","","",""
"FINPROTECTION_CATA_TOT_25_POP","Population with household expenditures on health greater than 25% of total household expenditure or income (SDG indicator 3.8.2) (%)","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4845","FPEGY2012","source","","PUBLISHED","Published","","2012","2012","","EMR","Eastern Mediterranean","","EGY","Egypt","","RUR","Rural","","3.92","3.92000","","","","",""
"FINPROTECTION_CATA_TOT_25_POP","Population with household expenditures on health greater than 25% of total household expenditure or income (SDG indicator 3.8.2) (%)","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4845","FPESP1985","source","","PUBLISHED","Published","","1985","1985","","EUR","Europe","","ESP","Spain","","TOTL","Total","","0.11","0.11000","","","","",""
"FINPROTECTION_CATA_TOT_10_POP","Population with household expenditures on health greater than 10% of total household expenditure or income (SDG indicator 3.8.2) (%)","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4844","FPESP1996","source","","PUBLISHED","Published","","1996","1996","","EUR","Europe","","ESP","Spain","","TOTL","Total","","3.95","3.95000","","","","",""
"FINPROTECTION_CATA_TOT_10_POP","Population with household expenditures on health greater than 10% of total household expenditure or income (SDG indicator 3.8.2) (%)","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4844","FPEST1995","source","","PUBLISHED","Published","","1995","1995","","EUR","Europe","","EST","Estonia","","TOTL","Total","","3.01","3.01000","","","","",""
"FINPROTECTION_CATA_TOT_10_POP","Population with household expenditures on health greater than 10% of total household expenditure or income (SDG indicator 3.8.2) (%)","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4844","FPEST1995","source","","PUBLISHED","Published","","1995","1995","","EUR","Europe","","EST","Estonia","","URB","Urban","","3.48","3.48000","","","","",""
"FINPROTECTION_CATA_TOT_10_POP","Population with household expenditures on health greater than 10% of total household expenditure or income (SDG indicator 3.8.2) (%)","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4844","FPEST2000","source","","PUBLISHED","Published","","2000","2000","","EUR","Europe","","EST","Estonia","","RUR","Rural","","5.57","5.57000","","","","",""
"FINPROTECTION_CATA_TOT_10_POP","Population with household expenditures on health greater than 10% of total household expenditure or income (SDG indicator 3.8.2) (%)","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4844","FPEST2001","source","","PUBLISHED","Published","","2001","2001","","EUR","Europe","","EST","Estonia","","TOTL","Total","","6.77","6.77000","","","","",""
"FINPROTECTION_CATA_TOT_25_POP","Population with household expenditures on health greater than 25% of total household expenditure or income (SDG indicator 3.8.2) (%)","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4845","FPEST2003","source","","PUBLISHED","Published","","2003","2003","","EUR","Europe","","EST","Estonia","","URB","Urban","","1.41","1.41000","","","","",""
"FINPROTECTION_CATA_TOT_25_POP","Population with household expenditures on health greater than 25% of total household expenditure or income (SDG indicator 3.8.2) (%)","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4845","FPEST2004","source","","PUBLISHED","Published","","2004","2004","","EUR","Europe","","EST","Estonia","","RUR","Rural","","1.93","1.93000","","","","",""
"FINPROTECTION_CATA_TOT_25_POP","Population with household expenditures on health greater than 25% of total household expenditure or income (SDG indicator 3.8.2) (%)","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4845","FPEST2005","source","","PUBLISHED","Published","","2005","2005","","EUR","Europe","","EST","Estonia","","TOTL","Total","","1.83","1.83000","","","","",""
"FINPROTECTION_CATA_TOT_25_POP","Population with household expenditures on health greater than 25% of total household expenditure or income (SDG indicator 3.8.2) (%)","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4845","FPEST2005","source","","PUBLISHED","Published","","2005","2005","","EUR","Europe","","EST","Estonia","","URB","Urban","","1.96","1.96000","","","","",""
"FINPROTECTION_CATA_TOT_10_POP","Population with household expenditures on health greater than 10% of total household expenditure or income (SDG indicator 3.8.2) (%)","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4844","FPEST2006","source","","PUBLISHED","Published","","2006","2006","","EUR","Europe","","EST","Estonia","","URB","Urban","","14.48","14.48000","","","","",""
"FINPROTECTION_CATA_TOT_25_POP","Population with household expenditures on health greater than 25% of total household expenditure or income (SDG indicator 3.8.2) (%)","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4845","FPEST2006","source","","PUBLISHED","Published","","2006","2006","","EUR","Europe","","EST","Estonia","","RUR","Rural","","2.63","2.63000","","","","",""
"FINPROTECTION_CATA_TOT_10_POP","Population with household expenditures on health greater than 10% of total household expenditure or income (SDG indicator 3.8.2) (%)","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4844","FPEST2007","source","","PUBLISHED","Published","","2007","2007","","EUR","Europe","","EST","Estonia","","RUR","Rural","","10.65","10.65000","","","","",""
"FINPROTECTION_CATA_TOT_25_POP","Population with household expenditures on health greater than 25% of total household expenditure or income (SDG indicator 3.8.2) (%)","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4845","FPEST2007","source","","PUBLISHED","Published","","2007","2007","","EUR","Europe","","EST","Estonia","","TOTL","Total","","2.66","2.66000","","","","",""
"FINPROTECTION_CATA_TOT_10_POP","Population with household expenditures on health greater than 10% of total household expenditure or income (SDG indicator 3.8.2) (%)","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4844","FPETH1999","source","","PUBLISHED","Published","","1999","1999","","AFR","Africa","","ETH","Ethiopia","","TOTL","Total","","1.58","1.58000","","","","",""
"FINPROTECTION_CATA_TOT_10_POP","Population with household expenditures on health greater than 10% of total household expenditure or income (SDG indicator 3.8.2) (%)","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4844","FPETH1999","source","","PUBLISHED","Published","","1999","1999","","AFR","Africa","","ETH","Ethiopia","","URB","Urban","","1.66","1.66000","","","","",""
"FINPROTECTION_CATA_TOT_10_POP","Population with household expenditures on health greater than 10% of total household expenditure or income (SDG indicator 3.8.2) (%)","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4844","FPETH2004","source","","PUBLISHED","Published","","2004","2004","","AFR","Africa","","ETH","Ethiopia","","RUR","Rural","","0.75","0.75000","","","","",""
"FINPROTECTION_CATA_TOT_10_POP","Population with household expenditures on health greater than 10% of total household expenditure or income (SDG indicator 3.8.2) (%)","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4844","FPETH2011","source","","PUBLISHED","Published","","2011","2011","","AFR","Africa","","ETH","Ethiopia","","TOTL","Total","","1.96","1.96000","","","","",""
"FINPROTECTION_CATA_TOT_25_POP","Population with household expenditures on health greater than 25% of total household expenditure or income (SDG indicator 3.8.2) (%)","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4845","FPETH2011","source","","PUBLISHED","Published","","2011","2011","","AFR","Africa","","ETH","Ethiopia","","URB","Urban","","0.40","0.40000","","","","",""
"FINPROTECTION_CATA_TOT_10_POP","Population with household expenditures on health greater than 10% of total household expenditure or income (SDG indicator 3.8.2) (%)","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4844","FPFIN2010","source","","PUBLISHED","Published","","2010","2010","","EUR","Europe","","FIN","Finland","","URB","Urban","","6.83","6.83000","","","","",""
"FINPROTECTION_CATA_TOT_25_POP","Population with household expenditures on health greater than 25% of total household expenditure or income (SDG indicator 3.8.2) (%)","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4845","FPFIN2010","source","","PUBLISHED","Published","","2010","2010","","EUR","Europe","","FIN","Finland","","RUR","Rural","","0.89","0.89000","","","","",""
"FINPROTECTION_CATA_TOT_10_POP","Population with household expenditures on health greater than 10% of total household expenditure or income (SDG indicator 3.8.2) (%)","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4844","FPFJI2002","source","","PUBLISHED","Published","","2002","2002","","WPR","Western Pacific","","FJI","Fiji","","RUR","Rural","","3.58","3.58000","","","","",""
"FINPROTECTION_CATA_TOT_25_POP","Population with household expenditures on health greater than 25% of total household expenditure or income (SDG indicator 3.8.2) (%)","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4845","FPFJI2002","source","","PUBLISHED","Published","","2002","2002","","WPR","Western Pacific","","FJI","Fiji","","TOTL","Total","","0.24","0.24000","","","","",""
"FINPROTECTION_CATA_TOT_10_POP","Population with household expenditures on health greater than 10% of total household expenditure or income (SDG indicator 3.8.2) (%)","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4844","FPFJI2008","source","","PUBLISHED","Published","","2008","2008","","WPR","Western Pacific","","FJI","Fiji","","TOTL","Total","","0.78","0.78000","","","","",""
"FINPROTECTION_CATA_TOT_10_POP","Population with household expenditures on health greater than 10% of total household expenditure or income (SDG indicator 3.8.2) (%)","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4844","FPFJI2008","source","","PUBLISHED","Published","","2008","2008","","WPR","Western Pacific","","FJI","Fiji","","URB","Urban","","1.17","1.17000","","","","",""
"FINPROTECTION_CATA_TOT_25_POP","Population with household expenditures on health greater than 25% of total household expenditure or income (SDG indicator 3.8.2) (%)","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4845","FPFRA2010","source","","PUBLISHED","Published","","2010","2010","","EUR","Europe","","FRA","France","","TOTL","Total","","0.22","0.22000","","","","",""
"FINPROTECTION_CATA_TOT_25_POP","Population with household expenditures on health greater than 25% of total household expenditure or income (SDG indicator 3.8.2) (%)","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4845","FPFRA2010","source","","PUBLISHED","Published","","2010","2010","","EUR","Europe","","FRA","France","","URB","Urban","","0.24","0.24000","","","","",""
"FINPROTECTION_CATA_TOT_10_POP","Population with household expenditures on health greater than 10% of total household expenditure or income (SDG indicator 3.8.2) (%)","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4844","FPGAB2005","source","","PUBLISHED","Published","","2005","2005","","AFR","Africa","","GAB","Gabon","","URB","Urban","","5.71","5.71000","","","","",""
"FINPROTECTION_CATA_TOT_25_POP","Population with household expenditures on health greater than 25% of total household expenditure or income (SDG indicator 3.8.2) (%)","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4845","FPGAB2005","source","","PUBLISHED","Published","","2005","2005","","AFR","Africa","","GAB","Gabon","","RUR","Rural","","0.36","0.36000","","","","",""
"FINPROTECTION_CATA_TOT_25_POP","Population with household expenditures on health greater than 25% of total household expenditure or income (SDG indicator 3.8.2) (%)","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4845","FPGBR1995","source","","PUBLISHED","Published","","1995","1995","","EUR","Europe","","GBR","United Kingdom of Great Britain and Northern Ireland","","TOTL","Total","","0.40","0.40000","","","","",""
"FINPROTECTION_CATA_TOT_10_POP","Population with household expenditures on health greater than 10% of total household expenditure or income (SDG indicator 3.8.2) (%)","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4844","FPGBR1999","source","","PUBLISHED","Published","","1999","1999","","EUR","Europe","","GBR","United Kingdom of Great Britain and Northern Ireland","","TOTL","Total","","0.81","0.81000","","","","",""
"FINPROTECTION_CATA_TOT_10_POP","Population with household expenditures on health greater than 10% of total household expenditure or income (SDG indicator 3.8.2) (%)","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4844","FPGEO1997","source","","PUBLISHED","Published","","1997","1997","","EUR","Europe","","GEO","Georgia","","RUR","Rural","","9.34","9.34000","","","","",""
"FINPROTECTION_CATA_TOT_25_POP","Population with household expenditures on health greater than 25% of total household expenditure or income (SDG indicator 3.8.2) (%)","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4845","FPGEO1997","source","","PUBLISHED","Published","","1997","1997","","EUR","Europe","","GEO","Georgia","","TOTL","Total","","2.79","2.79000","","","","",""
"FINPROTECTION_CATA_TOT_10_POP","Population with household expenditures on health greater than 10% of total household expenditure or income (SDG indicator 3.8.2) (%)","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4844","FPGEO1998","source","","PUBLISHED","Published","","1998","1998","","EUR","Europe","","GEO","Georgia","","TOTL","Total","","6.80","6.80000","","","","",""
"FINPROTECTION_CATA_TOT_10_POP","Population with household expenditures on health greater than 10% of total household expenditure or income (SDG indicator 3.8.2) (%)","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4844","FPGEO1998","source","","PUBLISHED","Published","","1998","1998","","EUR","Europe","","GEO","Georgia","","URB","Urban","","7.00","7.00000","","","","",""
"FINPROTECTION_CATA_TOT_10_POP","Population with household expenditures on health greater than 10% of total household expenditure or income (SDG indicator 3.8.2) (%)","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4844","FPGEO1999","source","","PUBLISHED","Published","","1999","1999","","EUR","Europe","","GEO","Georgia","","RUR","Rural","","8.30","8.30000","","","","",""
"FINPROTECTION_CATA_TOT_10_POP","Population with household expenditures on health greater than 10% of total household expenditure or income (SDG indicator 3.8.2) (%)","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4844","FPGEO2000","source","","PUBLISHED","Published","","2000","2000","","EUR","Europe","","GEO","Georgia","","TOTL","Total","","12.38","12.38000","","","","",""
